sample_id,router_name,budget,domain,ocr_text,vlm_raw_output,final_text,gt,backfill_status,backfill_reason,edit_distance_ocr,edit_distance_final,delta_edit_distance,vlm_model
MedP0234_L037,GCR,0.1,medicine,(所有血爆都),(所有钻塔都到),(所有钻塔都到),(所有血糖都可),accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0234_L052,GCR,0.1,medicine,(不蚀性关节员),(不连续关节面),(不连续关节面),(不侵蚀性关节炎),accepted,accepted,2,4,2,gemini:gemini-3-flash-preview
GeoP0199_L074,WUR,0.1,geology,(4个)顺层~,(24)顺层~,(24)顺层~,(4个)顺层~,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L091,WUR,0.1,geology,限制(被限制的映),限制 (被限制的层),限制 (被限制的层),限制(被限制的晚),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0199_L095,WUR,0.1,geology,覆构造),覆褶皱),覆褶皱),覆构造),accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L098,WUR,0.1,geology,追踪利用、改造(被的早),追踪利用、改造(补写的),追踪利用、改造(补写的),{追踪，利用，改造（被..的早）,accepted,accepted,5,7,2,gemini:gemini-3-flash-preview
GeoP0208_L009,WUR,0.1,geology,的水分,全水分,全水分,的水分,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0212_L012,WUR,0.1,geology,(3)结论,3)结论,3)结论,(3)结论,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0217_L034,WUR,0.1,geology,利余AbO3,利余Al2O3,利余Al2O3,利余AbO₃,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
GeoP0219_L009,WUR,0.1,geology,中性市,中生界,中生界,中性岩,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0219_L035,WUR,0.1,geology,具有板理.片理、薄层理石,具有板理、片理、薄层理的,具有板理、片理、薄层理的,具有板理·片理、薄层理岩石,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0221_L014,WUR,0.1,geology,同生矿床：矿体与围岩在同一地质作用。,同生矿床：矿体与围岩在同一地质作用中。,同生矿床：矿体与围岩在同一地质作用中。,(同生矿床：矿体与围岩在同一地质作用.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0243_L008,WUR,0.1,geology,之间的角义，,之间的夹角，,之间的夹角，,之间的角α，,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
FinP0177_L003,WUR,0.1,finance,(2)票面利率,12) 层面利率,12) 层面利率,（2）票面利率,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
FinP0201_L051,WUR,0.1,finance,4.货币乘数,4.质量参数,4.质量参数,4.货币乘数,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
FinP0204_L057,WUR,0.1,finance,信券空向,信号定向,信号定向,债券票面,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
FinP0204_L073,WUR,0.1,finance,(P{1:卖出价n:持有年限),(P1: 卖出价 n:持有年限),(P1: 卖出价 n:持有年限),(P₁:卖出价n:持有年限),accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
FinP0204_L075,WUR,0.1,finance,=)持有期收益率=105=,二)持有期收益率=10.5%,二)持有期收益率=10.5%,=>持有期收益率:105:,accepted,accepted,3,5,2,gemini:gemini-3-flash-preview
MedP0201_L025,WUR,0.1,medicine,无肾买质改变,无明显基质改变,无明显基质改变,无肾实质政变,accepted,accepted,2,4,2,gemini:gemini-3-flash-preview
MedP0204_L019,WUR,0.1,medicine,腔骨长轴线,胚界长轴线,胚界长轴线,胫骨长轴线,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0218_L032,WUR,0.1,medicine,肝一木（子),肝一木(2),肝一木(2),肝—木(子),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0222_L039,WUR,0.1,medicine,美胆素(颜色,基质素(颜色),基质素(颜色),粪胆素(颜色,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
MedP0224_L004,WUR,0.1,medicine,1、域电位水平.,八阈电位水平.,八阈电位水平.,1、阈电位水平，,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0234_L029,WUR,0.1,medicine,狼疮抗凝物。(相毒）,狼疮抗凝物。(筛选）,狼疮抗凝物。(筛选）,狼疮抗凝物.(梅毒),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0234_L052,WUR,0.1,medicine,(不蚀性关节员),(不连续性关节面),(不连续性关节面),(不侵蚀性关节炎),accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0235_L020,WUR,0.1,medicine,(酸性结合OH-带负电)两个-COOH,(碱性结合OH-带负电)两个-COOH,(碱性结合OH-带负电)两个-COOH,(酸性结合OH⁻带负电)两个-COOH,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0199_L002,DGCR,0.1,geology,层与层之间发生滑动,层与层之间发生层动,层与层之间发生层动,层与层之间发生滑动,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0199_L091,DGCR,0.1,geology,限制(被限制的映),限制 (被限制的层),限制 (被限制的层),限制(被限制的晚),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0200_L044,DGCR,0.1,geology,羽状节理与主断层所交,羽状节理与主断层斜交,羽状节理与主断层斜交,羽状节理与主断层所交,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0207_L037,DGCR,0.1,geology,弹性给水度,弹性释水度,弹性释水度,3弹性给水度,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0217_L010,DGCR,0.1,geology,物理风化作用：只发生机械破碎而化学成分未改变的风化作用只暗碎,物理风化作用：只发生机械破碎而化学成分未改变的风化作用。只崩碎。,物理风化作用：只发生机械破碎而化学成分未改变的风化作用。只崩碎。,物理风化作用：只发生机械破碎而化学成分未改变的风化作用只嚼碎了,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0217_L012,DGCR,0.1,geology,结果：各种碎屑物质形成形成各种法子,结果：各种碎屑物质形成形成各种结构,结果：各种碎屑物质形成形成各种结构,结果：各种碎屑物质形成形成各种渣子,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0218_L031,DGCR,0.1,geology,一般情况下.只发生机械破碎，而无化学分解.,一般情况下，只发生机械破碎，而无化学分解。,一般情况下，只发生机械破碎，而无化学分解。,"一般情况下.只发生机械破碎,而无化学分解.",accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0219_L035,DGCR,0.1,geology,具有板理.片理、薄层理石,具有板理、片理、薄层理的,具有板理、片理、薄层理的,具有板理·片理、薄层理岩石,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0221_L014,DGCR,0.1,geology,同生矿床：矿体与围岩在同一地质作用。,同生矿床：矿体与围岩在同一地质作用中。,同生矿床：矿体与围岩在同一地质作用中。,(同生矿床：矿体与围岩在同一地质作用.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0222_L013,DGCR,0.1,geology,二、易需保成矿因素,二、显著的成矿因素,二、显著的成矿因素,二、易聚体成矿因素,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0227_L020,DGCR,0.1,geology,②、A矿物交代B矿物，B早于A⑦、梳状、晶洞、环带、条带构造等.,②、A矿物交代B矿物，B早于A ③、梳状、晶洞、环带、条带构造等.,②、A矿物交代B矿物，B早于A ③、梳状、晶洞、环带、条带构造等.,②、A矿物交代B矿物，B早于A⑦、梳状、晶洞、环带、条带构造等。,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0235_L030,DGCR,0.1,geology,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛等挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛及挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛及挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛等挥发分，,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0238_L007,DGCR,0.1,geology,①、元素种类多样②、矿物成分多达300种以上,①、元素种类多样②、矿物成分多达300余种以上,①、元素种类多样②、矿物成分多达300余种以上,①、元素种类多样②、矿物成分多达300种以上,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0240_L008,DGCR,0.1,geology,交换，而主要由于物理化学条件改变，引起沉淀物质直接淀沉于所在的构造,交换，而主要由于物理化学条件改变，引起沉淀物质便直接淀沉于所在的构造,交换，而主要由于物理化学条件改变，引起沉淀物质便直接淀沉于所在的构造,交换，而主要由于物理化学条件改变，引起沉淀物质直接淀沉于所在的构造,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0240_L012,DGCR,0.1,geology,·云英岩化、花岗岩类岩石中，高温蚀变产生玉主要由白云母、石英组合的岩石。,",云英岩化:花岗岩类岩石中，高温蚀变产生的主要由白云母、石英组合的岩石。",",云英岩化:花岗岩类岩石中，高温蚀变产生的主要由白云母、石英组合的岩石。","·云英岩化、花岗岩类岩石中,高温蚀变产生主要由白云母、石英组合的岩石.",accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
GeoP0241_L036,DGCR,0.1,geology,实际发生区别的反电子数4~7时.,实际发生区别的原子数4~7时.,实际发生区别的原子数4~7时.,实际发生区别的仅d电子数4~7时.,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0201_L018,DGCR,0.1,medicine,肝硬化+腹水,矽化+脱水,矽化+脱水,肝硬化+腹水,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
MedP0222_L064,DGCR,0.1,medicine,生态：生长抑系，奥曲肽(收缩内脏血管),止血：生长抑素，奥曲肽(收缩内脏血管),止血：生长抑素，奥曲肽(收缩内脏血管),生态：生长抑素，奥曲肽(收缩内脏血管),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0225_L036,DGCR,0.1,medicine,即胆汁酸盐，可胆汁酸盐，简称胆盐。,即胆汁酸盐，或胆汁酸盐。简称胆盐。,即胆汁酸盐，或胆汁酸盐。简称胆盐。,即胆汁酸盐，即胆汁酸盐，简称胆盐。,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0228_L012,DGCR,0.1,medicine,洋地黄特别适用于,该地质特别适用于,该地质特别适用于,洋地黄特别适用于,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L091,DWUR,0.1,geology,限制(被限制的映),限制 (被限制的层),限制 (被限制的层),限制(被限制的晚),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0199_L098,DWUR,0.1,geology,追踪利用、改造(被的早),追踪利用、改造(旧的早),追踪利用、改造(旧的早),{追踪，利用，改造（被..的早）,accepted,accepted,5,6,1,gemini:gemini-3-flash-preview
GeoP0199_L111,DWUR,0.1,geology,如地层关系的变化,"如,地层关系的变化","如,地层关系的变化",如地层关系的变化,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0199_L115,DWUR,0.1,geology,(1)正断层(从地表的切面来观测),1) 正断层 (从地表的切面来观测),1) 正断层 (从地表的切面来观测),1)正断层(以地表的切面来观测),accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0200_L044,DWUR,0.1,geology,羽状节理与主断层所交,羽状节理与主断层斜交,羽状节理与主断层斜交,羽状节理与主断层所交,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0207_L014,DWUR,0.1,geology,含水层入渗系数,含水层渗透系数下,含水层渗透系数下,含水层入渗系数,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
GeoP0208_L011,DWUR,0.1,geology,(1)含水层空隙中水由于水压力降低而膨胀释放出来的重力水共同作用,(1)含水层空隙中水由于水压力降低而膨胀释放出来的弹性水}共同作用,(1)含水层空隙中水由于水压力降低而膨胀释放出来的弹性水}共同作用,(1)含水层空隙中水由于水压力降低而膨胀释放出来的重力水}共同作用,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0208_L027,DWUR,0.1,geology,(3)其地下水的补给主要来源是大气降水，河水和两岸的基石裂陈水,(3)其地下水的补给主要来源是大气降水、河水和两岸的基岩裂隙水,(3)其地下水的补给主要来源是大气降水、河水和两岸的基岩裂隙水,(3)其地下水的补给主要来源是大气降水，河水和两岸的基石裂隙水,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0212_L004,DWUR,0.1,geology,2.Cs越大，频率曲线中部上端越陡，中段曲率变大，下端变平缓,2.Cs越大，频率曲线上端越陡，中段曲率变大，下端变平缓,2.Cs越大，频率曲线上端越陡，中段曲率变大，下端变平缓,2.Cs越大，频率曲线中部上端越陡，中段曲率变大，下端变平缓,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0219_L019,DWUR,0.1,geology,气候湿热地区可分阔,气候湿热地区亦分纲,气候湿热地区亦分纲,气候湿热地区也可分解,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0219_L035,DWUR,0.1,geology,具有板理.片理、薄层理石,具有板理、片理、薄层理的,具有板理、片理、薄层理的,具有板理·片理、薄层理岩石,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0220_L006,DWUR,0.1,geology,松驰：应力不变，应变随时间增加而减小。,松弛：应变不变，应力随时间增加而减小。,松弛：应变不变，应力随时间增加而减小。,松驰：应力不变，应变随时间增加而减小。,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
GeoP0221_L014,DWUR,0.1,geology,同生矿床：矿体与围岩在同一地质作用。,同生矿床：矿体与围岩在同一地质作用中。,同生矿床：矿体与围岩在同一地质作用中。,(同生矿床：矿体与围岩在同一地质作用.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0222_L013,DWUR,0.1,geology,二、易需保成矿因素,二、影响成矿因素,二、影响成矿因素,二、易聚体成矿因素,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0201_L018,DWUR,0.1,medicine,肝硬化+腹水,矽化+脱水,矽化+脱水,肝硬化+腹水,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
MedP0219_L026,DWUR,0.1,medicine,补液量估算①每丧失体重的1%，补液量400-500m1.,补液量估算 ①每丧失体重的1%，补液量 400-500ml.,补液量估算 ①每丧失体重的1%，补液量 400-500ml.,补液量估算①每丧失体重的1%，补液量400-500ml.,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0222_L018,DWUR,0.1,medicine,CB(结合胆红素,CB(结合胆红素),CB(结合胆红素),CB(结合胆红素,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0228_L012,DWUR,0.1,medicine,洋地黄特别适用于,洋地质特别适用于,洋地质特别适用于,洋地黄特别适用于,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
MedP0235_L014,DWUR,0.1,medicine,2、氨基酸的分类,乙、氨基酸的分类,乙、氨基酸的分类,2、氨基酸的分类,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0199_L002,GCR,0.2,geology,层与层之间发生滑动,层与层之间发生层动,层与层之间发生层动,层与层之间发生滑动,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0199_L074,GCR,0.2,geology,(4个)顺层~,(24)顺层~,(24)顺层~,(4个)顺层~,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L095,GCR,0.2,geology,覆构造),覆褶皱),覆褶皱),覆构造),accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
GeoP0199_L098,GCR,0.2,geology,追踪利用、改造(被的早),追踪利用、改造(旧的早),追踪利用、改造(旧的早),{追踪，利用，改造（被..的早）,accepted,accepted,5,6,1,gemini:gemini-3-flash-preview
GeoP0205_L015,GCR,0.2,geology,A或B,P或B,P或B,A成B,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0208_L009,GCR,0.2,geology,的水分,全水分,全水分,的水分,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0212_L012,GCR,0.2,geology,(3)结论,3)结论,3)结论,(3)结论,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0217_L034,GCR,0.2,geology,利余AbO3,利余Al2O3,利余Al2O3,利余AbO₃,accepted,accepted,1,3,2,gemini:gemini-3-flash-preview
GeoP0218_L012,GCR,0.2,geology,泥于水,泥浆水,泥浆水,溶于水，,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0219_L027,GCR,0.2,geology,以溶解为主,以溶蚀为主,以溶蚀为主,以溶解为主,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
GeoP0219_L035,GCR,0.2,geology,具有板理.片理、薄层理石,具有板理、片理、薄层理的,具有板理、片理、薄层理的,具有板理·片理、薄层理岩石,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
GeoP0221_L004,GCR,0.2,geology,自形自形/半自形/他形,自形 自形/半自形/他形,自形 自形/半自形/他形,'自形自形/半自形/他形,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0221_L014,GCR,0.2,geology,同生矿床：矿体与围岩在同一地质作用。,同生矿床：矿体与围岩在同一地质作用中形成。,同生矿床：矿体与围岩在同一地质作用中形成。,(同生矿床：矿体与围岩在同一地质作用.,accepted,accepted,1,4,3,gemini:gemini-3-flash-preview
GeoP0228_L023,GCR,0.2,geology,②.围岩主要为碳酸盐岩类，部分火成岩，控制矿物组合有层控性。,②.围岩主要为碳酸盐岩类，部分火成岩，矿物组合有层控性。,②.围岩主要为碳酸盐岩类，部分火成岩，矿物组合有层控性。,②，围岩主要为碳酸盐岩类，部分火成岩，控制矿物组合，有层控性.,accepted,accepted,2,4,2,gemini:gemini-3-flash-preview
GeoP0235_L030,GCR,0.2,geology,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛等挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛及挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛及挥发分,矿物下沉堆积，形成早期岩浆矿床。晚期残余岩浆富含铁、钛等挥发分，,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0240_L012,GCR,0.2,geology,·云英岩化、花岗岩类岩石中，高温蚀变产生玉主要由白云母、石英组合的岩石。,",云英岩化、花岗岩类岩石中，高温蚀变产生的主要由白云母、石英组合的岩石。",",云英岩化、花岗岩类岩石中，高温蚀变产生的主要由白云母、石英组合的岩石。","·云英岩化、花岗岩类岩石中,高温蚀变产生主要由白云母、石英组合的岩石.",accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
GeoP0241_L033,GCR,0.2,geology,穷人急着占.,层内急着点.,层内急着点.,穷人急着占.,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
GeoP0241_L036,GCR,0.2,geology,实际发生区别的反电子数4~7时.,实际发生区别时的附近电子数4~7时.,实际发生区别时的附近电子数4~7时.,实际发生区别的仅d电子数4~7时.,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
FinP0176_L027,GCR,0.2,finance,二、联系生活，理解本金，存期，利率、利息等根念,二、联系生活，理解本金、存期、利率、利息等概念,二、联系生活，理解本金、存期、利率、利息等概念,二、联系生活理解本金，存期，利率，利息等概念,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
FinP0179_L040,GCR,0.2,finance,发行）③中间发行,发射）③中间激发,发射）③中间激发,发行)③中间发行:,accepted,accepted,1,4,3,gemini:gemini-3-flash-preview
FinP0179_L041,GCR,0.2,finance,介于面客和市价之间、,介于面容质和市阶之间、,介于面容质和市阶之间、,：介于面额和市价之间、,accepted,accepted,2,4,2,gemini:gemini-3-flash-preview
FinP0189_L017,GCR,0.2,finance,现货：当场/天内买方付款.卖,现货：当场10天内买方付款，卖,现货：当场10天内买方付款，卖,现货：当场|n天内买方付款.卖方,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
FinP0195_L001,GCR,0.2,finance,②货币互换,②深井互换,②深井互换,②货币互换,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
FinP0200_L020,GCR,0.2,finance,·在全融领域的应用场景,·在金属矿领域的应用场景,·在金属矿领域的应用场景,·在金融领域的应用场景,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
FinP0201_L051,GCR,0.2,finance,4.货币乘数,4.质量参数,4.质量参数,4.货币乘数,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
FinP0201_L057,GCR,0.2,finance,活期存款总额.,活期存蓄总额.,活期存蓄总额.,活期存款总额.,accepted,accepted,0,1,1,gemini:gemini-3-flash-preview
FinP0204_L057,GCR,0.2,finance,信券空向,信号定向,信号定向,债券票面,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
FinP0204_L075,GCR,0.2,finance,=)持有期收益率=105=,二)持有期收益率=10.5%,二)持有期收益率=10.5%,=>持有期收益率:105:,accepted,accepted,3,5,2,gemini:gemini-3-flash-preview
MedP0201_L018,GCR,0.2,medicine,肝硬化+腹水,矽化+脱水,矽化+脱水,肝硬化+腹水,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
MedP0201_L025,GCR,0.2,medicine,无肾买质改变,无明显质改变,无明显质改变,无肾实质政变,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0201_L039,GCR,0.2,medicine,血性腹水,延性脆性,延性脆性,血性腹水,accepted,accepted,0,3,3,gemini:gemini-3-flash-preview
MedP0204_L019,GCR,0.2,medicine,腔骨长轴线,胚界长轴线,胚界长轴线,胫骨长轴线,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0225_L031,GCR,0.2,medicine,则使NADPH氧化生成了水，即一分子氧发了两种功能，故又称混合功能氧,则使NADPH氧化生成了水，即一分子氧发挥了两种功能，故又称混合功能氧化酶,则使NADPH氧化生成了水，即一分子氧发挥了两种功能，故又称混合功能氧化酶,则使NADPH氧化生成了水，即一分子氧发挥了两种功能，故又称混合功能氧,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0225_L036,GCR,0.2,medicine,即胆汁酸盐，可胆汁酸盐，简称胆盐。,即胆汁酸盐，或胆汁酸盐。简称胆盐。,即胆汁酸盐，或胆汁酸盐。简称胆盐。,即胆汁酸盐，即胆汁酸盐，简称胆盐。,accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0234_L029,GCR,0.2,medicine,狼疮抗凝物。(相毒）,狼疮抗凝物。(筛选）,狼疮抗凝物。(筛选）,狼疮抗凝物.(梅毒),accepted,accepted,1,2,1,gemini:gemini-3-flash-preview
MedP0234_L052,GCR,0.2,medicine,(不蚀性关节员),(不连续性关节面),(不连续性关节面),(不侵蚀性关节炎),accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0235_L025,GCR,0.2,medicine,含-OHAA：苏(酪)丝苏老师,含-OHAA=苏(酪)丝 苏老师,含-OHAA=苏(酪)丝 苏老师,含-OHAA：苏(酪)丝苏老师,accepted,accepted,0,2,2,gemini:gemini-3-flash-preview
MedP0249_L017,GCR,0.2,medicine,2、第2颈椎：C2对应身体部区：双耳视神经,2、第2颈椎：C2对应身体部位区：双耳视神经,2、第2颈椎：C2对应身体部位区：双耳视神经,"2、第2颈椎：C₂对应身体部区：双耳,视神经",accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
MedP0249_L028,GCR,0.2,medicine,4、第4颈椎：(4对应身体部位区：鼻、唇.嘴,4、第4颈椎：(C4对应身体部位区：鼻、唇、嘴,4、第4颈椎：(C4对应身体部位区：鼻、唇、嘴,4、第4颈椎：C4对应身体部险区：鼻.唇.嘴,accepted,accepted,3,4,1,gemini:gemini-3-flash-preview
MedP0249_L045,GCR,0.2,medicine,还有膀脱等、,还有膨胀等、,还有膨胀等、,还有膀胱等.,accepted,accepted,2,3,1,gemini:gemini-3-flash-preview
